Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Store_Location,Sales_in_2020,Sales_in_2021,Sales_in_2022,Sales_in_2023,Sales_in_2024
ITEM_19,10.8245828,Regular,0.118526557,Snack Foods,182.5061064,Medium,tier-1,979,1137,856,911,958
ITEM_20,17.23705789,Ultra Low Fat,0.279144246,Baking Goods,226.7544589,Medium,tier-1,1198,1051,1050,1064,1039
ITEM_21,7.789877213,Ultra Low Fat,0.187890328,Household,130.8493941,Small,tier-1,762,784,748,765,781
ITEM_22,10.84289297,Ultra Low Fat,0.025186711,Health and Hygiene,59.22811386,Medium,tier-2,418,369,404,350,415
ITEM_23,12.32723687,Regular,0.265498084,Seafood,107.5114564,High,tier-1,627,691,700,629,632
ITEM_24,14.12139968,Regular,0.080662455,Frozen Foods,109.503353,High,tier-1,657,704,678,625,618
ITEM_25,20.70351923,Low Fat,0.073130848,Dairy,133.9147126,Medium,tier-1,718,699,811,843,753
ITEM_26,8.993475643,Low Fat,0.089127291,Meat,285.8656833,Medium,tier-2,1510,1309,1564,1371,1389
ITEM_27,15.28468877,Regular,0.173160671,Canned,251.2106997,Small,tier-3,1361,1362,1571,1665,1535
ITEM_28,16.84829138,Regular,0.163406428,Others,283.9890613,Small,tier-3,1517,1598,1656,1453,1379
ITEM_29,5.929008254,Regular,0.147424126,Frozen Foods,299.6523975,Medium,tier-1,1632,1810,1731,1919,1961
ITEM_30,17.15089704,Regular,0.215261059,Household,158.444751,High,tier-2,891,774,932,840,879
ITEM_31,8.410482474,Ultra Low Fat,0.094961319,Fruits and Vegetables,106.7683292,Small,tier-3,529,476,541,490,492
ITEM_32,6.30103186,Ultra Low Fat,0.234619356,Fruits and Vegetables,190.0010403,High,tier-1,1016,908,988,1058,1247
ITEM_33,23.97771075,Ultra Low Fat,0.052596504,Seafood,270.2836035,High,tier-2,1529,1494,1440,1442,1498
ITEM_34,24.31264066,Regular,0.234786237,Dairy,166.4329653,High,tier-3,896,841,746,751,710
ITEM_35,21.16794696,Ultra Low Fat,0.199143032,Frozen Foods,176.3498256,High,tier-3,966,1049,922,981,1067
ITEM_36,11.09227538,Ultra Low Fat,0.204962493,Frozen Foods,83.60977648,Small,tier-2,406,428,429,430,478
ITEM_37,6.95344228,Low Fat,0.144466019,Dairy,155.1138731,Medium,tier-3,819,882,931,1034,969
ITEM_38,18.68466053,Low Fat,0.20010046,Meat,146.7487025,Medium,tier-1,793,891,716,676,743
ITEM_39,13.80304987,Ultra Low Fat,0.023939114,Soft Drinks,137.9221257,Small,tier-1,885,752,828,827,809
ITEM_40,7.440764697,Ultra Low Fat,0.255465335,Dairy,271.8246675,High,tier-2,1453,1438,1220,1311,1321
ITEM_41,14.9035382,Ultra Low Fat,0.01666417,Baking Goods,64.8253583,Medium,tier-2,415,419,409,463,424
ITEM_42,5.687770422,Regular,0.044622453,Health and Hygiene,293.0367957,Medium,tier-1,1547,1415,1592,1434,1062
ITEM_43,23.18640804,Low Fat,0.173036913,Frozen Foods,52.06170632,Medium,tier-2,291,289,354,341,375
ITEM_44,10.17559963,Low Fat,0.221823437,Soft Drinks,286.3985035,High,tier-3,1580,1647,1668,1662,1545
ITEM_45,18.25044569,Low Fat,0.022875469,Dairy,187.0118757,Medium,tier-3,947,896,883,884,901
ITEM_46,11.23422152,Ultra Low Fat,0.276229444,Fruits and Vegetables,225.6113111,Small,tier-3,1215,1220,1208,1243,1286
ITEM_47,15.40136042,Regular,0.292082295,Canned,96.78321242,Medium,tier-3,470,454,449,492,533
ITEM_48,15.93420559,Low Fat,0.181785052,Fruits and Vegetables,213.5528848,Medium,tier-2,1134,1203,1301,1348,1210
ITEM_49,8.697089111,Low Fat,0.144373037,Breakfast,270.4894171,Small,tier-3,1333,1456,1369,1314,1242
ITEM_50,24.39169256,Regular,0.222418492,Breakfast,84.87003496,High,tier-2,479,504,473,506,524
ITEM_51,20.50265647,Ultra Low Fat,0.098507206,Dairy,81.77040307,Medium,tier-1,551,633,591,732,802
ITEM_52,23.78997883,Ultra Low Fat,0.14797933,Health and Hygiene,125.9944773,High,tier-3,653,485,534,512,547
ITEM_53,22.89654701,Low Fat,0.274845308,Health and Hygiene,90.43147312,High,tier-2,516,494,518,486,438
ITEM_54,16.95799958,Low Fat,0.286696628,Fruits and Vegetables,77.66146202,High,tier-1,526,467,483,432,456
ITEM_55,23.4374847,Regular,0.278120735,Meat,219.579759,Medium,tier-3,1300,1502,1783,2021,1954
ITEM_56,6.769850041,Low Fat,0.07873442,Snack Foods,103.4566535,Medium,tier-3,627,548,583,521,562
ITEM_57,8.919657248,Regular,0.069740712,Canned,216.7537249,Small,tier-3,1158,1322,1594,1513,1562
ITEM_58,5.904545778,Low Fat,0.089299352,Baking Goods,265.4823068,High,tier-2,1409,1365,1552,1650,1536
ITEM_59,11.50660662,Low Fat,0.132393334,Fruits and Vegetables,213.0061979,Small,tier-2,1127,1045,937,838,963
ITEM_60,12.77354579,Low Fat,0.094250224,Others,79.84176748,Medium,tier-1,485,500,551,584,612
ITEM_61,10.42698064,Ultra Low Fat,0.112263839,Snack Foods,193.3943935,Medium,tier-3,1212,1449,1658,1656,1734
ITEM_62,21.57475018,Regular,0.186191086,Health and Hygiene,148.4071711,Small,tier-1,885,807,703,532,537
ITEM_63,12.13506653,Regular,0.228757703,Baking Goods,135.8427342,Small,tier-2,804,824,878,976,1009
ITEM_64,10.61869019,Ultra Low Fat,0.220667459,Baking Goods,129.6328672,High,tier-3,761,788,671,738,724
ITEM_65,15.85392166,Ultra Low Fat,0.24432707,Baking Goods,282.358056,Medium,tier-1,1512,1360,1401,1286,1539
ITEM_66,7.818484499,Ultra Low Fat,0.009655321,Health and Hygiene,235.6268642,High,tier-3,1284,1201,1336,1236,1189
ITEM_67,21.04393962,Regular,0.014320137,Frozen Foods,83.4621974,High,tier-2,598,565,516,496,486
ITEM_68,6.491012874,Low Fat,0.236814888,Others,169.0013699,Medium,tier-1,947,957,1025,1105,1084
ITEM_69,24.73773873,Ultra Low Fat,0.159923647,Others,129.5557688,Medium,tier-3,733,627,534,562,653
ITEM_70,20.44489539,Ultra Low Fat,0.173442202,Meat,294.4845781,High,tier-3,1516,1521,1574,1617,1580
ITEM_71,8.974313631,Ultra Low Fat,0.015776058,Meat,294.5072432,Small,tier-3,1579,1395,1447,1588,1773
ITEM_72,5.110442342,Low Fat,0.07659414,Snack Foods,129.8836186,Medium,tier-1,717,703,713,634,623
ITEM_73,21.30922857,Low Fat,0.191506291,Snack Foods,138.028279,High,tier-2,777,687,640,572,603
ITEM_74,19.13714688,Ultra Low Fat,0.257754567,Canned,199.8535518,Small,tier-2,1046,1184,1273,1458,1739
ITEM_75,19.58014336,Low Fat,0.275095019,Frozen Foods,169.8267536,High,tier-1,946,971,1049,987,910
ITEM_76,20.42540693,Ultra Low Fat,0.150125849,Health and Hygiene,103.275218,Medium,tier-3,580,534,634,618,681
ITEM_77,6.480893035,Low Fat,0.16364227,Others,215.1030417,Small,tier-1,1108,1295,1637,1587,1353
ITEM_78,12.16931457,Regular,0.249914889,Others,133.532161,Small,tier-1,825,699,627,598,574
ITEM_79,7.317381191,Regular,0.16128738,Seafood,213.4291246,Small,tier-2,1091,1088,1016,1012,984
ITEM_80,22.26206852,Low Fat,0.155057558,Household,145.9203806,Medium,tier-1,787,821,794,773,768
ITEM_81,17.46596254,Regular,0.271525211,Household,225.0524735,Medium,tier-3,1238,1200,1208,1286,1216
ITEM_82,11.6179605,Regular,0.236979816,Dairy,216.9498677,High,tier-2,1230,1211,1198,1418,1468
ITEM_83,6.271167006,Regular,0.272721758,Household,177.203189,High,tier-2,979,910,945,926,893
ITEM_84,11.21964643,Ultra Low Fat,0.065474116,Household,226.1849977,Medium,tier-3,1223,1117,1028,1139,1103
ITEM_85,11.50366644,Low Fat,0.157312646,Soft Drinks,165.2414191,High,tier-1,857,931,888,891,860
ITEM_86,19.59212357,Low Fat,0.252741639,Health and Hygiene,79.03457491,Small,tier-2,455,459,347,331,317
ITEM_87,17.75114943,Low Fat,0.033344348,Seafood,95.52656333,Medium,tier-1,492,507,516,458,468
ITEM_88,22.74425485,Regular,0.238398646,Health and Hygiene,111.4982835,Medium,tier-3,644,686,633,600,597
ITEM_89,14.4442985,Ultra Low Fat,0.054892015,Frozen Foods,65.80723206,High,tier-2,451,423,406,292,304
ITEM_90,7.391884919,Low Fat,0.242435626,Snack Foods,227.8453052,Medium,tier-3,1253,1165,1280,1348,1435
ITEM_91,19.26489574,Regular,0.183600281,Breakfast,141.8475567,Small,tier-2,717,664,628,644,645
ITEM_92,20.21570097,Ultra Low Fat,0.057970797,Meat,73.38082408,Medium,tier-3,496,498,515,511,474
ITEM_93,16.22554395,Ultra Low Fat,0.142006254,Seafood,254.9895302,Small,tier-1,1436,1715,1950,1739,1609
ITEM_94,20.4193436,Low Fat,0.20457155,Baking Goods,220.9135711,Medium,tier-3,1181,1186,1260,1265,1222
ITEM_95,14.87591193,Low Fat,0.19015587,Household,163.0560593,Medium,tier-3,990,688,785,801,975
ITEM_96,15.45465659,Regular,0.128174159,Meat,111.8563338,Medium,tier-3,634,651,763,760,658
ITEM_97,13.55082037,Low Fat,0.269809959,Meat,87.93647345,High,tier-3,456,473,473,436,420
ITEM_98,5.508382535,Regular,0.155779024,Baking Goods,164.5935479,High,tier-3,912,1002,1021,1024,962
ITEM_99,7.15782854,Ultra Low Fat,0.15176019,Seafood,271.3114358,Small,tier-1,1438,1623,1714,1479,1294
ITEM_100,5.628583714,Ultra Low Fat,0.018675177,Frozen Foods,97.09883082,High,tier-1,637,820,713,755,723
ITEM_101,17.72820823,Ultra Low Fat,0.276636117,Baking Goods,192.1648072,Medium,tier-2,1005,999,1065,1112,1126
ITEM_102,11.28711962,Ultra Low Fat,0.053134971,Soft Drinks,290.4214988,High,tier-3,1570,1608,1752,2054,2349
ITEM_103,15.17141382,Low Fat,0.158503408,Soft Drinks,209.2791437,High,tier-1,1057,1092,916,814,762
ITEM_104,23.15132948,Low Fat,0.24107028,Baking Goods,159.9911825,Small,tier-3,867,837,776,740,875
ITEM_105,9.985844583,Regular,0.064635983,Health and Hygiene,229.0932432,Medium,tier-3,1225,1196,1040,1021,869
ITEM_106,13.20765846,Regular,0.158211987,Dairy,256.1444798,Small,tier-2,1352,1254,1318,1186,1231
ITEM_107,20.11102277,Regular,0.072205473,Fruits and Vegetables,197.6290745,High,tier-3,1008,967,901,810,736
ITEM_108,9.57596331,Regular,0.227908499,Dairy,267.9580897,Medium,tier-1,1407,1390,1584,1530,1583
ITEM_109,6.539598197,Regular,0.16930235,Soft Drinks,178.6479398,Small,tier-2,991,1039,1124,970,1189
ITEM_110,10.79502906,Ultra Low Fat,0.256792758,Others,257.5072506,Small,tier-2,1435,1495,1743,1896,1840
ITEM_111,8.224425745,Ultra Low Fat,0.268367401,Seafood,288.0048101,Medium,tier-2,1496,1328,1276,1240,1279
ITEM_112,23.59395305,Ultra Low Fat,0.194620045,Soft Drinks,175.3108668,Small,tier-3,921,797,966,998,1035
ITEM_113,21.16240759,Regular,0.217617374,Snack Foods,201.2504289,Small,tier-2,1215,1156,899,922,916
ITEM_114,17.66807513,Ultra Low Fat,0.16476603,Health and Hygiene,202.3668857,Small,tier-1,1002,1160,1216,1244,1534
ITEM_115,22.4292118,Ultra Low Fat,0.11532862,Seafood,245.3587159,High,tier-1,1286,1337,1378,1454,1472
ITEM_116,21.07344154,Ultra Low Fat,0.194435377,Fruits and Vegetables,255.74146,Small,tier-2,1321,1341,1475,1400,1398
ITEM_117,8.731401178,Ultra Low Fat,0.272486587,Snack Foods,56.80732905,High,tier-2,294,316,303,368,342
ITEM_118,22.85117997,Low Fat,0.125004114,Soft Drinks,233.339891,Small,tier-2,1259,1104,1209,1196,1082
ITEM_119,15.78684484,Regular,0.094323008,Breakfast,245.9538112,Small,tier-3,1382,1483,1346,1235,1382
ITEM_120,21.1488031,Regular,0.116531082,Frozen Foods,225.1073599,Small,tier-2,1275,1200,1145,993,1169
ITEM_121,22.921826,Low Fat,0.130619289,Seafood,228.4239148,Small,tier-2,1268,1064,1072,911,1069
ITEM_122,11.3600695,Ultra Low Fat,0.022068309,Seafood,60.3507148,Medium,tier-3,460,452,482,646,677
ITEM_123,7.201038491,Ultra Low Fat,0.149532552,Dairy,160.5096655,High,tier-2,887,981,851,866,809
ITEM_124,9.558703251,Ultra Low Fat,0.148294274,Household,254.5449124,Medium,tier-2,1369,1396,1453,1351,1212
ITEM_125,13.54215577,Regular,0.176533148,Snack Foods,283.5017853,Medium,tier-1,1526,1508,1305,1189,1204
ITEM_126,21.36029532,Regular,0.108846009,Breakfast,107.3669801,Medium,tier-1,698,644,582,620,658
ITEM_127,22.21461167,Regular,0.183932279,Baking Goods,194.7987351,Medium,tier-1,1050,1033,1168,1072,1059
ITEM_128,5.139042611,Regular,0.263464893,Dairy,251.0825599,Small,tier-3,1410,1714,1890,1968,1766
ITEM_129,15.21494605,Regular,0.286641297,Household,238.1019107,Small,tier-1,1363,1469,1671,1781,1684
ITEM_130,13.34822006,Low Fat,0.175083665,Household,204.7225292,Medium,tier-1,1135,1139,1032,1058,1128
ITEM_131,9.442156209,Regular,0.012777286,Frozen Foods,54.67279707,Medium,tier-2,413,374,343,277,286
ITEM_132,7.397307347,Ultra Low Fat,0.290770799,Household,230.97146,High,tier-3,1190,951,881,1001,1130
ITEM_133,11.75230343,Regular,0.211758618,Others,243.3106258,Medium,tier-2,1340,1174,1209,1276,1466
ITEM_134,23.85819408,Low Fat,0.100789095,Soft Drinks,230.7123767,Small,tier-2,1279,1236,1420,1711,2173
ITEM_135,11.46405864,Ultra Low Fat,0.04414731,Meat,241.4522904,High,tier-3,1319,1189,1196,1266,1207
ITEM_136,15.37581243,Low Fat,0.043025584,Meat,157.7287232,Medium,tier-3,931,791,646,596,652
ITEM_137,19.06037918,Ultra Low Fat,0.050323322,Canned,298.4380365,High,tier-2,1599,1573,1588,1530,1376
ITEM_138,12.27259205,Regular,0.013671756,Fruits and Vegetables,242.696729,Medium,tier-2,1296,1111,1104,1089,1129
ITEM_139,24.43564165,Low Fat,0.270646257,Frozen Foods,194.6700013,High,tier-2,1062,1103,1241,1204,1200
ITEM_140,24.2489459,Ultra Low Fat,0.16223047,Canned,283.5478174,High,tier-3,1510,1636,1696,1588,1592
ITEM_141,10.03564592,Regular,0.209987824,Fruits and Vegetables,277.0495849,Small,tier-2,1480,1726,1783,1829,1904
ITEM_142,14.94497012,Ultra Low Fat,0.248432553,Meat,253.6417663,High,tier-2,1344,1200,1213,1141,1021
ITEM_143,11.0175662,Low Fat,0.237462302,Seafood,190.9237297,Medium,tier-1,1029,964,864,996,826
ITEM_144,10.69680989,Low Fat,0.264781687,Frozen Foods,181.7752548,High,tier-1,1035,925,920,784,743
ITEM_145,5.737738947,Low Fat,0.290176387,Seafood,132.176983,Medium,tier-1,757,829,859,845,831
ITEM_146,17.19128668,Low Fat,0.131721184,Soft Drinks,112.7194948,Medium,tier-1,602,548,555,503,507
ITEM_147,15.05358046,Regular,0.28510064,Health and Hygiene,178.0898792,Small,tier-1,1012,963,787,768,721
ITEM_148,6.029575025,Ultra Low Fat,0.216986985,Snack Foods,194.4454404,High,tier-2,1022,1021,1115,1205,1115
ITEM_149,10.57292928,Regular,0.021200457,Snack Foods,111.1316079,Small,tier-2,749,672,690,722,732
ITEM_150,23.16531772,Low Fat,0.204534936,Dairy,280.6503109,Medium,tier-3,1448,1631,1817,2110,2263
ITEM_151,9.791237813,Ultra Low Fat,0.206014998,Meat,189.3184992,High,tier-3,1138,998,979,852,835
ITEM_152,7.897897442,Low Fat,0.271758169,Meat,181.6263313,High,tier-3,1025,1040,1075,905,726
ITEM_153,14.78905521,Regular,0.11187964,Soft Drinks,158.9095971,Medium,tier-2,871,784,654,586,535
ITEM_154,24.71300908,Regular,0.17547345,Breakfast,64.51782393,Small,tier-1,379,360,349,301,265
ITEM_155,9.84110543,Regular,0.003656265,Canned,270.6003336,Small,tier-2,1482,1485,1702,1777,1834
ITEM_156,18.44271095,Ultra Low Fat,0.099622573,Health and Hygiene,129.2485566,High,tier-2,726,657,712,770,892
ITEM_157,20.23239231,Ultra Low Fat,0.018673118,Others,210.6150836,Small,tier-3,1116,721,677,770,725
ITEM_158,9.75275088,Low Fat,0.156561892,Meat,201.8583897,High,tier-3,1074,1193,1119,940,931
ITEM_159,19.56432697,Ultra Low Fat,0.245234295,Household,196.1217063,Small,tier-3,1074,868,944,878,726
ITEM_160,12.35566265,Ultra Low Fat,0.061932808,Dairy,181.4280505,Medium,tier-3,1009,957,820,706,832
ITEM_161,17.64611661,Regular,0.158232314,Snack Foods,95.35995836,Medium,tier-2,634,635,673,603,625
ITEM_162,17.67059422,Low Fat,0.061202591,Meat,120.1514353,Medium,tier-3,687,685,791,832,718
ITEM_163,15.71549368,Regular,0.03620654,Health and Hygiene,181.0470178,High,tier-1,1033,1045,919,731,898
ITEM_164,6.805795401,Low Fat,0.153299038,Baking Goods,247.3356129,High,tier-2,1312,1281,1324,1172,1109
ITEM_165,21.70604991,Low Fat,0.023744586,Canned,157.9972427,Medium,tier-1,843,854,889,884,803
ITEM_166,11.4156013,Ultra Low Fat,0.176206389,Others,100.9806383,Medium,tier-2,565,586,616,500,538
ITEM_167,8.730370208,Regular,0.009401238,Health and Hygiene,71.9861062,Small,tier-2,301,342,350,390,382
ITEM_168,5.815502831,Ultra Low Fat,0.032014492,Household,215.7527509,Medium,tier-3,1179,1111,1250,1163,1225
ITEM_169,16.81785886,Ultra Low Fat,0.164999246,Canned,155.8349927,Medium,tier-1,854,961,887,1053,1269
ITEM_170,18.55128724,Ultra Low Fat,0.177422224,Snack Foods,81.34272316,Medium,tier-2,491,477,448,453,551
ITEM_171,5.331756579,Low Fat,0.008696079,Canned,218.61672,High,tier-1,1165,1232,1033,991,1005
ITEM_172,15.24186117,Regular,0.172013036,Health and Hygiene,101.8946827,High,tier-2,608,622,613,539,518
ITEM_173,9.529915504,Regular,0.251550758,Breakfast,177.2540121,Medium,tier-2,1049,947,1045,921,786
ITEM_174,17.90345581,Ultra Low Fat,0.216694853,Frozen Foods,126.5469938,Small,tier-2,761,647,655,570,456
ITEM_175,8.48732858,Low Fat,0.039355531,Breakfast,282.9225161,Small,tier-1,1470,1531,1684,1748,1917
ITEM_176,18.81875476,Regular,0.177742394,Health and Hygiene,107.0720166,Medium,tier-2,705,624,617,691,685
ITEM_177,12.73470693,Regular,0.20167575,Meat,154.9796304,High,tier-1,993,895,740,778,730
ITEM_178,23.73459977,Ultra Low Fat,0.011169361,Household,289.8733992,Medium,tier-1,1547,1494,1487,1262,1307
ITEM_179,7.750418883,Low Fat,0.256604301,Soft Drinks,129.681295,Small,tier-3,738,817,745,747,712
ITEM_180,11.82132702,Ultra Low Fat,0.271880219,Canned,211.1482908,High,tier-1,1191,1351,1293,1272,1339
ITEM_181,7.269470425,Regular,0.255135682,Health and Hygiene,129.1817609,High,tier-2,773,666,568,549,549
ITEM_182,23.49387237,Low Fat,0.24738944,Fruits and Vegetables,77.66874478,High,tier-2,462,334,361,287,247
ITEM_183,22.54678707,Ultra Low Fat,0.22348956,Fruits and Vegetables,206.8868082,Medium,tier-2,1104,1086,1175,875,807
ITEM_184,10.15883255,Regular,0.190029609,Dairy,279.0078838,Medium,tier-2,1469,1368,1430,1336,1424
ITEM_185,18.19968092,Ultra Low Fat,0.203588101,Canned,163.1411668,Medium,tier-1,974,1134,1029,946,881
ITEM_186,21.344444,Ultra Low Fat,0.241918588,Seafood,206.5441357,Small,tier-3,1110,1190,1151,1276,1178
ITEM_187,16.10401623,Ultra Low Fat,0.198749538,Frozen Foods,202.2246033,High,tier-1,1107,1014,889,951,1103
ITEM_188,15.59301157,Low Fat,0.098318087,Household,153.7724257,High,tier-2,916,792,660,681,687
ITEM_189,9.837045818,Regular,0.112788331,Baking Goods,203.7241597,Small,tier-1,1179,1234,1267,1173,1270
ITEM_190,6.862055356,Regular,0.269117241,Household,114.8295211,Small,tier-3,623,583,630,714,799
ITEM_191,22.94431516,Regular,0.005136626,Canned,144.5094762,High,tier-3,760,696,726,858,901
ITEM_192,23.00836114,Regular,0.209646174,Breakfast,160.5797141,High,tier-3,915,942,847,903,831
ITEM_193,17.66202915,Low Fat,0.286433266,Seafood,266.0021709,Small,tier-3,1429,1277,1399,1325,1386
ITEM_194,11.78059582,Ultra Low Fat,0.211868451,Fruits and Vegetables,137.0832237,Medium,tier-3,819,838,974,951,1184
ITEM_195,11.98419149,Regular,0.298173596,Household,208.784262,Medium,tier-1,1066,1110,1126,1412,1339
ITEM_196,19.51911358,Low Fat,0.206263472,Health and Hygiene,103.3509594,Medium,tier-3,596,515,574,589,652
ITEM_197,22.9422052,Ultra Low Fat,0.010308909,Household,113.1424323,Small,tier-3,676,703,659,743,820
ITEM_198,22.74172849,Low Fat,0.248102964,Canned,212.1072189,High,tier-2,1106,1103,1000,970,900
ITEM_199,20.59751092,Low Fat,0.085388974,Health and Hygiene,240.5774818,Small,tier-3,1325,1056,779,706,590
ITEM_200,17.84063292,Regular,0.133817168,Seafood,165.5292941,Medium,tier-1,985,1006,1050,961,949
ITEM_201,6.6827993,Regular,0.093627575,Snack Foods,133.7749242,Medium,tier-2,719,669,691,516,448
ITEM_202,8.232574282,Ultra Low Fat,0.080566232,Household,277.567889,Medium,tier-1,1526,1471,1409,1323,952
ITEM_203,22.97108377,Ultra Low Fat,0.129421711,Dairy,83.95195376,Small,tier-2,511,543,543,644,599
ITEM_204,17.12858119,Regular,0.113625435,Canned,230.1785594,Small,tier-3,1218,1168,991,1015,1025
ITEM_205,5.183941032,Low Fat,0.190001575,Others,222.5426874,Medium,tier-1,1186,1377,1346,1287,1504
ITEM_206,7.029430857,Regular,0.24394536,Meat,222.5612907,Medium,tier-2,1253,938,912,809,719
ITEM_207,18.27003538,Ultra Low Fat,0.089126596,Meat,283.8551111,High,tier-1,1496,1517,1411,1490,1465
ITEM_208,5.101231677,Low Fat,0.064116346,Dairy,232.0475752,Small,tier-2,1239,1137,1163,1224,1305
ITEM_209,8.216161028,Low Fat,0.200068581,Meat,125.3912974,High,tier-3,774,721,718,754,631
ITEM_210,15.97467579,Low Fat,0.20109602,Dairy,138.3523061,Medium,tier-1,827,741,778,732,724
ITEM_211,18.83790395,Regular,0.270339372,Snack Foods,147.7777433,Medium,tier-1,810,860,856,820,797
ITEM_212,18.03922519,Regular,0.004783706,Frozen Foods,57.70216852,Medium,tier-1,481,417,379,378,312
ITEM_213,9.485386189,Ultra Low Fat,0.255912199,Fruits and Vegetables,278.3775789,High,tier-3,1530,1773,1925,1653,1543
ITEM_214,19.24358443,Low Fat,0.156300652,Health and Hygiene,68.38815097,Small,tier-3,515,555,512,571,492
ITEM_215,9.74498175,Low Fat,0.186390627,Dairy,224.9485705,Small,tier-2,1309,1218,1415,1245,1287
ITEM_216,11.50799396,Regular,0.027411432,Others,232.5402512,High,tier-1,1233,1178,1253,1509,1486
ITEM_217,19.9298281,Ultra Low Fat,0.12978448,Soft Drinks,260.9287627,Small,tier-2,1368,1484,1872,1920,1916
ITEM_218,17.99265798,Ultra Low Fat,0.068190722,Soft Drinks,188.3405639,High,tier-2,949,967,888,928,913
ITEM_219,21.98446821,Low Fat,0.076267509,Others,231.316106,High,tier-3,1328,1501,1484,1278,1219
ITEM_220,18.15225785,Regular,0.151228534,Soft Drinks,125.6807311,Small,tier-1,643,629,613,626,634
ITEM_221,16.36617207,Low Fat,0.243736785,Baking Goods,236.3960027,Small,tier-3,1290,1416,1395,1529,1568
ITEM_222,6.873495357,Regular,0.223134279,Meat,135.8539343,High,tier-1,717,766,753,775,718
ITEM_223,12.35431606,Ultra Low Fat,0.177299988,Dairy,275.7096196,Small,tier-2,1469,1570,1634,1653,1741
ITEM_224,10.30404735,Low Fat,0.161825458,Canned,90.84545194,Small,tier-3,550,542,580,565,481
ITEM_225,9.879792868,Low Fat,0.128191813,Dairy,128.9393277,High,tier-3,831,872,942,977,1015
ITEM_226,24.4602111,Low Fat,0.291812992,Canned,174.6923629,Medium,tier-1,999,954,1059,1018,1157
ITEM_227,12.86195449,Ultra Low Fat,0.168057766,Snack Foods,243.9626393,High,tier-2,1463,1354,1088,1121,1129
ITEM_228,22.8409311,Low Fat,0.076189919,Canned,237.1997763,Small,tier-3,1294,1317,1511,1742,1485
ITEM_229,17.62277252,Ultra Low Fat,0.069027238,Frozen Foods,102.6792186,Medium,tier-2,627,669,642,719,692
ITEM_230,20.89622607,Regular,0.183405909,Soft Drinks,86.05892415,Small,tier-3,472,473,522,531,525
ITEM_231,15.05274186,Ultra Low Fat,0.156848258,Meat,125.9924011,High,tier-3,693,598,604,535,430
ITEM_232,16.53807769,Regular,0.002309341,Health and Hygiene,170.9385379,High,tier-3,882,856,996,975,1023
ITEM_233,14.85035388,Ultra Low Fat,0.249019612,Health and Hygiene,184.7512612,High,tier-2,1016,1043,1213,1268,1414
ITEM_234,8.904859756,Ultra Low Fat,0.211236706,Baking Goods,157.2843977,Medium,tier-2,842,975,1079,1136,1260
ITEM_235,19.44904231,Low Fat,0.198548787,Snack Foods,215.7725292,Small,tier-2,1154,1256,1464,1629,1421
